Track ID,Name,Artist,Album Artist,Album,Genre,Comments,Kind,Size,Total Time,Track Number,Year,Bit Rate,Track Count,Composer,Publisher,Location,File Folder Count,Library Folder Count,Date Modified,Date Added
61,Expansion of Blockade,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,6636152,414000,13,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Expansion%20of%20Blockade.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
62,False Regeneration,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2405151,150000,4,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20False%20Regeneration.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
63,"Good, or Don't Be",Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,1338520,83000,22,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Good%2C%20or%20Don%27t%20Be.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
64,Harbinger of Tragedy,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,1598490,99000,4,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Harbinger%20of%20Tragedy.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
65,Honeymoon With Anxiety,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,1608103,100000,10,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Honeymoon%20With%20Anxiety.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
66,Hostility Restrained,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,1588459,99000,10,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Hostility%20Restrained.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
67,II Air,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,3282448,205000,6,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20II%20Air.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
68,In the Depths of Human Hearts,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2302751,143000,9,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20In%20the%20Depths%20of%20Human%20Hearts.mp3,-1,-1,2008-07-04T04:09:37Z,2023-10-23T02:03:10Z
69,"Infantile Dependence, Adult Dependency",Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2904613,181000,19,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Infantile%20Dependence%2C%20Adult%20Depend.mp3,-1,-1,2008-07-04T04:09:38Z,2023-10-23T02:03:10Z
70,Interference of Others,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2265553,141000,1,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Interference%20of%20Others.mp3,-1,-1,2008-07-04T04:09:38Z,2023-10-23T02:03:10Z
